name,rating,genre,released,budget,released_minus1,half_year_back,imdbID,opening_weekend,positive_tweets,negative_tweets,positive_likes,negative_likes,positive_comments,negative_comments,positive_shares,negative_shares,avg_positive_score,avg_negative_score
The Happytime Murders,R,Action,24/08/2018,40000000,23/08/2018,22/02/2018,tt1308728,9532425,2863,544,2370,2193,287,256,735,485,0.995904628,0.992552827
Smallfoot,PG,Animation,28/09/2018,80000000,27/09/2018,29/03/2018,tt6182908,23045635,1755,232,36373,432,694,46,8445,78,0.992356099,0.966954522
Godzilla: King of the Monsters,PG-13,Action,31/05/2019,170000000,30/05/2019,29/11/2018,tt3741700,47776293,9576,607,52291,1229,1844,142,14499,263,0.993898273,0.980143771
The Nutcracker and the Four Realms,PG,Adventure,02/11/2018,120000000,01/11/2018,03/05/2018,tt5523010,20352491,1890,104,2626,186,105,29,1108,52,0.99543132,0.983551503
Tolkien,PG-13,Biography,10/05/2019,20000000,09/05/2019,08/11/2018,tt3361792,2200537,4065,509,53591,3915,1637,366,14646,461,0.995393417,0.990264851
Pet Sematary,R,Horror,05/04/2019,21000000,04/04/2019,04/10/2018,tt0098084,12046179,5455,1600,22593,6415,1514,810,6509,1134,0.990565192,0.98443339
Spider-Man: Far from Home,PG-13,Action,02/07/2019,160000000,01/07/2019,31/12/2018,tt6320628,92579212,25277,3559,266681,40658,5005,1944,78145,7453,0.992851469,0.98276316
Second Act,PG-13,Comedy,21/12/2018,16000000,20/12/2018,21/06/2018,tt2126357,6489983,847,119,4862,85,145,17,1048,19,0.995785175,0.992132218
Little Women,PG,Drama,25/12/2019,40000000,24/12/2019,25/06/2019,tt3281548,16755310,8758,2464,263250,32163,5692,1249,59144,3534,0.99522487,0.98939501
Long Shot,R,Comedy,03/05/2019,40000000,02/05/2019,01/11/2018,tt2139881,9740064,1409,316,29864,1387,780,112,3771,195,0.992638261,0.978288968
The Goldfinch,R,Drama,13/09/2019,45000000,12/09/2019,14/03/2019,tt3864056,2679027,1986,547,8442,1714,470,285,1231,105,0.994711827,0.990029154
Maleficent: Mistress of Evil,PG,Adventure,18/10/2019,185000000,17/10/2019,18/04/2019,tt4777008,36948713,2633,510,24638,5713,631,114,7934,1847,0.988074879,0.962842836
The Kitchen,R,Action,09/08/2019,38000000,08/08/2019,07/02/2019,tt5822564,5527410,2119,318,31963,2915,1604,222,5743,393,0.995725871,0.989209677
The Art of Racing in the Rain,PG,Comedy,09/08/2019,18000000,08/08/2019,07/02/2019,tt1478839,8137584,748,168,1464,356,126,85,274,6,0.99433893,0.993318708
Avengers: Endgame,PG-13,Action,26/04/2019,356000000,25/04/2019,25/10/2018,tt4154796,357115007,62051,18463,1777075,193137,41512,8982,620968,42908,0.994296628,0.989777344
Tully,R,Comedy,04/05/2018,13000000,03/05/2018,02/11/2017,tt5610554,3282610,1929,190,8982,326,482,38,2729,68,0.994284751,0.991116449
Night School,PG-13,Comedy,28/09/2018,29000000,27/09/2018,29/03/2018,tt6781982,27257615,2677,244,14477,915,943,30,2964,187,0.99449259,0.981230879
Escape Room,PG-13,Action,04/01/2019,9000000,03/01/2019,05/07/2018,tt5886046,18238172,2387,311,15448,1262,792,84,4616,195,0.996012621,0.986874506
Sonic the Hedgehog,PG,Action,14/02/2020,85000000,13/02/2020,15/08/2019,tt3794354,58018348,7636,2004,256415,44393,7519,1700,52747,7878,0.994596507,0.986064998
